1621241868398298984,sensor1,-0.94187,-4.23989,-26.76997,-0.46708,-2.37289,2.80033,0.01001,0.05414,0,0.500,1
1621241868401251138,sensor2,-0.94187,-4.23989,-26.76998,-0.46707,-2.37289,2.80033,0.01001,0.05414,0,0.923,0
1621241868465365150,sensor1,-2.87431,-4.27621,-26.93977,-0.37731,-2.36598,2.33580,0.01297,0.03232,0,0.817,0
1621241868466689155,sensor2,-2.87431,-4.27621,-26.93977,-0.37731,-2.36598,2.33580,0.01297,0.03232,0,0.965,0
1621241868541273612,sensor1,-4.87957,-4.30786,-27.11469,-0.28876,-2.35920,1.84299,0.01478,0.01901,0,0.975,0
1621241868543878058,sensor2,-4.87957,-4.30786,-27.11469,-0.28876,-2.35920,1.84299,0.01478,0.01901,0,0.931,0
1621241868621274867,sensor1,-6.84465,-4.33210,-27.28446,-0.21601,-2.34981,1.39567,0.01582,0.01139,0,0.860,0
1621241868624080365,sensor2,-6.84465,-4.33210,-27.28446,-0.21600,-2.34981,1.39567,0.01582,0.01139,0,0.926,0
1621241868701260476,sensor1,-8.94926,-4.35138,-27.46424,-0.15495,-2.33809,1.02520,0.01647,0.00663,0,0.984,0
1621241868703993313,sensor2,-8.94926,-4.35138,-27.46424,-0.15494,-2.33809,1.02520,0.01647,0.00663,0,0.927,0
1621241868781363024,sensor1,-11.09038,-4.49215,-27.60759,-0.01803,-1.85052,6.20765,0.02953,0.29571,0,0.838,0
1621241868784399880,sensor2,-11.09038,-4.49215,-27.60759,-0.01802,-1.85052,6.20765,0.02953,0.29571,0,0.919,0
1621241868861345954,sensor1,-13.21742,-4.74010,-27.78860,-0.41477,-2.33066,1.42386,0.04802,0.17854,0,0.729,0
1621241868864194070,sensor2,-13.21742,-4.74010,-27.78860,-0.41476,-2.33066,1.42386,0.04802,0.17854,0,0.923,0
1621241868926822526,sensor1,-15.38093,-4.92970,-27.96565,-0.51593,-2.30484,2.41065,0.05855,0.10297,0,0.606,0
1621241868931168954,sensor2,-15.38094,-4.92970,-27.96566,-0.51593,-2.30484,2.41065,0.05855,0.10297,0,0.884,0
1621241869006402175,sensor1,-17.49226,-5.06130,-28.13607,-0.48234,-2.27868,2.51520,0.06421,0.05687,0,0.890,0
