1621241868398298984,sensor1,1,-144.76964,10.98425,0.19917,26.77331,-2.82394,2.34475,-1.5808,-0.05414
1621241868401251138,sensor2,1,-144.76964,10.98425,0.19917,26.77331,-2.82394,2.34475,-1.5808,-0.05414
1621241868465365150,sensor1,1,-144.76132,12.92953,0.02785,26.9424,-2.36629,2.33548,-1.58377,-0.03232
1621241868466689155,sensor2,1,-144.76132,12.92953,0.02785,26.9424,-2.36629,2.33548,-1.58377,-0.03232
1621241868541273612,sensor1,1,-144.7646,14.94269,-0.11194,27.11599,-1.87765,2.33171,-1.58557,-0.01901
1621241868543878058,sensor2,1,-144.7646,14.94269,-0.11194,27.11599,-1.87765,2.33171,-1.58557,-0.01901
1621241868621274867,sensor1,1,-144.77661,16.91232,-0.21564,27.28446,-1.43267,2.32743,-1.58662,-0.01139
1621241868624080365,sensor2,1,-144.77661,16.91232,-0.21564,27.28446,-1.43267,2.32743,-1.58662,-0.01139
1621241868701260476,sensor1,1,-144.79652,19.01972,-0.29749,27.46306,-1.06358,2.32088,-1.58727,-0.00663
1621241868703993313,sensor2,1,-144.79652,19.01972,-0.29749,27.46306,-1.06358,2.32088,-1.58727,-0.00663
1621241868781363024,sensor1,1,-144.83716,21.21818,-0.79714,27.59608,-6.25958,1.66642,-1.60033,-0.29571
1621241868784399880,sensor2,1,-144.83716,21.21818,-0.79714,27.59608,-6.25958,1.66642,-1.60033,-0.29571
1621241868861345954,sensor1,1,-144.89972,23.42972,-0.91961,27.77648,-1.53409,2.25963,-1.61882,-0.17854
1621241868864194070,sensor2,1,-144.89972,23.42972,-0.91961,27.77648,-1.53409,2.25963,-1.61882,-0.17854
1621241868926822526,sensor1,1,-144.97865,25.64304,-1.12135,27.94793,-2.54138,2.15983,-1.62934,-0.10297
1621241868931168954,sensor2,1,-144.97865,25.64304,-1.12135,27.94793,-2.54138,2.15983,-1.62934,-0.10297
1621241869006402175,sensor1,1,-145.07137,27.78096,-1.32393,28.10905,-2.65622,2.1126,-1.635,-0.05687
1621241869009676961,sensor2,1,-145.07137,27.78096,-1.32393,28.10905,-2.65622,2.1126,-1.635,-0.05687
1621241869072376582,sensor1,1,-145.17111,29.78372,-1.50003,28.25906,-2.47851,2.11127,-1.63844,-0.03966
1621241869074107972,sensor2,1,-145.17111,29.78372,-1.50003,28.25906,-2.47851,2.11127,-1.63844,-0.03966
1621241869150307825,sensor1,1,-145.2811,31.77836,-1.65203,28.4078,-2.16028,2.11404,-1.64075,-0.02598
1621241869153575833,sensor2,1,-145.2811,31.77836,-1.65203,28.4078,-2.16028,2.11404,-1.64075,-0.02598
